SampleID	NERR	prev_sample_name	Quarter_txt	Quarter_num	Replicate	Sample.Site	NERR_TYPE	NERR_LONG	SITE	LAT	LONG	HAB_TYPE	Region	Ocean	North_South	input	filtered	percentage_of_input_passed_filter	denoised	merged	percentage_of_input_merged	non.chimeric	percentage_of_input_non.chimeric	Site_Corrected	NERR_SITE_QTR	NERR_SITE_QTR_REP	SWMP_ID	datenum	yr	mnth	day	lub_date	met	wc	nut	Temp_Min.	Temp_Median	Temp_Mean	Temp_Max.	SpCond_Min.	SpCond_Median	SpCond_Mean	SpCond_Max.	Sal_Min.	Sal_Median	Sal_Mean	Sal_Max.	DO_pct_Min.	DO_pct_Median	DO_pct_Mean	DO_pct_Max.	DO_mgl_Min.	DO_mgl_Median	DO_mgl_Mean	DO_mgl_Max.	Depth_Min.	Depth_Median	Depth_Mean	Depth_Max.	pH_Min.	pH_Median	pH_Mean	pH_Max.	Turb_Min.	Turb_Median	Turb_Mean	Turb_Max.	days_since_wc	ATemp_Min.	ATemp_Median	ATemp_Mean	ATemp_Max.	WSpd_Min.	WSpd_Median	WSpd_Mean	WSpd_Max.	MaxWSpd_Min.	MaxWSpd_Median	MaxWSpd_Mean	MaxWSpd_Max.	TotPAR_Min.	TotPAR_Median	TotPAR_Mean	TotPAR_Max.	TotPrcp_Min.	TotPrcp_Median	TotPrcp_Mean	TotPrcp_Max.	days_since_met	PO4F_Min.	PO4F_Median	PO4F_Mean	PO4F_Max.	NH4F_Min.	NH4F_Median	NH4F_Mean	NH4F_Max.	NO23F_Min.	NO23F_Median	NO23F_Mean	NO23F_Max.	CHLA_N_Min.	CHLA_N_Median	CHLA_N_Mean	CHLA_N_Max.	days_since_nut	salinity	Temp_Min..1	Temp_Median.1	Temp_Mean.1	Temp_Max..1	SpCond_Min..1	SpCond_Median.1	SpCond_Mean.1	SpCond_Max..1	Sal_Min..1	Sal_Median.1	Sal_Mean.1	Sal_Max..1	DO_pct_Min..1	DO_pct_Median.1	DO_pct_Mean.1	DO_pct_Max..1	DO_mgl_Min..1	DO_mgl_Median.1	DO_mgl_Mean.1	DO_mgl_Max..1	Depth_Min..1	Depth_Median.1	Depth_Mean.1	Depth_Max..1	pH_Min..1	pH_Median.1	pH_Mean.1	pH_Max..1	Turb_Min..1	Turb_Median.1	Turb_Mean.1	Turb_Max..1	days_since_wc.1	ATemp_Min..1	ATemp_Median.1	ATemp_Mean.1	ATemp_Max..1	WSpd_Min..1	WSpd_Median.1	WSpd_Mean.1	WSpd_Max..1	MaxWSpd_Min..1	MaxWSpd_Median.1	MaxWSpd_Mean.1	MaxWSpd_Max..1	TotPAR_Min..1	TotPAR_Median.1	TotPAR_Mean.1	TotPAR_Max..1	TotPrcp_Min..1	TotPrcp_Median.1	TotPrcp_Mean.1	TotPrcp_Max..1	days_since_met.1	PO4F_Min..1	PO4F_Median.1	PO4F_Mean.1	PO4F_Max..1	NH4F_Min..1	NH4F_Median.1	NH4F_Mean.1	NH4F_Max..1	NO23F_Min..1	NO23F_Median.1	NO23F_Mean.1	NO23F_Max..1	CHLA_N_Min..1	CHLA_N_Median.1	CHLA_N_Mean.1	CHLA_N_Max..1	days_since_nut.1
GBGBw0227241	GB	GBGBw0227241	Feb_24	8	1	GB	GBGB	Great_Bay	GB	43.0722	-70.8694	Estuary	NE	Atlantic	North	54352	52988	97.49	52436	51666	95.06	51352	94.48	GBGB	GBGB_Q8	GBGB_Q8_1	GRBGB	22724	24	2	27	2/27/24	grbgbmet	grbgbwq	grbgbnut	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBGBw0227242	GB	GBGBw0227242	Feb_24	8	2	GB	GBGB	Great_Bay	GB	43.0722	-70.8694	Estuary	NE	Atlantic	North	95778	94323	98.48	93821	92967	97.07	92405	96.48	GBGB	GBGB_Q8	GBGB_Q8_2	GRBGB	22724	24	2	27	2/27/24	grbgbmet	grbgbwq	grbgbnut	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBGBw0227243	GB	GBGBw0227243	Feb_24	8	3	GB	GBGB	Great_Bay	GB	43.0722	-70.8694	Estuary	NE	Atlantic	North	54352	53509	98.45	53174	52648	96.86	52394	96.4	GBGB	GBGB_Q8	GBGB_Q8_3	GRBGB	22724	24	2	27	2/27/24	grbgbmet	grbgbwq	grbgbnut	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBLRw0227241	GB	GBLRw0227241	Feb_24	8	1	LR	GBLR	Lamprey_River	LR	43.08	-70.9344	Tidal_River_head_of_tide	NE	Atlantic	North	74483	73411	98.56	72705	71549	96.06	71315	95.75	GBLR	GBLR_Q8	GBLR_Q8_1	GRBLR	22724	24	2	27	2/27/24	grblrmet	grblrwq	grblrnut	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBLRw0227242	GB	GBLRw0227242	Feb_24	8	2	LR	GBLR	Lamprey_River	LR	43.08	-70.9344	Tidal_River_head_of_tide	NE	Atlantic	North	105430	103837	98.49	103112	101667	96.43	101289	96.07	GBLR	GBLR_Q8	GBLR_Q8_2	GRBLR	22724	24	2	27	2/27/24	grblrmet	grblrwq	grblrnut	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBLRw0227243	GB	GBLRw0227243	Feb_24	8	3	LR	GBLR	Lamprey_River	LR	43.08	-70.9344	Tidal_River_head_of_tide	NE	Atlantic	North	37457	36696	97.97	36239	35711	95.34	35615	95.08	GBLR	GBLR_Q8	GBLR_Q8_3	GRBLR	22724	24	2	27	2/27/24	grblrmet	grblrwq	grblrnut	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBSQw0227241	GB	GBSQw0227241	Feb_24	8	1	SQ	GBSQ	Squamscott_River	SR	43.0524	-70.91181	Estuary_Tide_River_mouth	NE	Atlantic	North	48770	47317	97.02	46494	45643	93.59	45459	93.21	GBSQ	GBSQ_Q8	GBSQ_Q8_1	GRBSQ	22724	24	2	27	2/27/24	grbsqmet	grbsqwq	grbsqnut	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBSQw0227242	GB	GBSQw0227242	Feb_24	8	2	SQ	GBSQ	Squamscott_River	SR	43.0524	-70.91181	Estuary_Tide_River_mouth	NE	Atlantic	North	83219	81001	97.33	79522	77465	93.09	77088	92.63	GBSQ	GBSQ_Q8	GBSQ_Q8_2	GRBSQ	22724	24	2	27	2/27/24	grbsqmet	grbsqwq	grbsqnut	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBSQw0227243	GB	GBSQw0227243	Feb_24	8	3	SQ	GBSQ	Squamscott_River	SR	43.0524	-70.91181	Estuary_Tide_River_mouth	NE	Atlantic	North	45079	44560	98.85	43739	42652	94.62	42478	94.23	GBSQ	GBSQ_Q8	GBSQ_Q8_3	GRBSQ	22724	24	2	27	2/27/24	grbsqmet	grbsqwq	grbsqnut	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTMFMw0208241	GTM	GTMFMw0208241	Feb_24	8	1	FM	GTMFM	Fort_Matanzas	FM	29.737041	-81.245953	high_salinity_lagoonal_estuary	SE	Atlantic	South	58372	57402	98.34	56614	53628	91.87	53067	90.91	GTMFM	GTMFM_Q8	GTMFM_Q8_1	GTMFM	20824	24	2	8	2/8/24	gtmfmmet	gtmfmwq	gtmfmnut	13.3	13.8	13.79375	14.4	48.59	50.005	49.9334375	50.9	31.7	32.7	32.68333333	33.4	95.6	101.1	101.3041667	107.5	8.1	8.5	8.570833333	9	1.92	2.525	2.512083333	3.19	7.9	8	8.013541667	8.1	3	9	9.125	19	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	13.3	13.8	13.79375	14.4	48.59	50.005	49.9334375	50.9	31.7	32.7	32.68333333	33.4	95.6	101.1	101.3041667	107.5	8.1	8.5	8.570833333	9	1.92	2.525	2.512083333	3.19	7.9	8	8.013541667	8.1	3	9	9.125	19	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
