Feature ID	Taxon	Consensus
0000c7f2167a58c21a28cac46082c8c8	d__Eukaryota; p__Arthropoda; c__Insecta; o__Lepidoptera; f__Lepidoptera; g__Lepidoptera	1.0
0000f91fd4c04070bb43236a91074f4c	Unassigned	1.0
00013e47abf68f7e71b89e3ac0dc48c4	Unassigned	1.0
0002764d9c1373a238635a5923d1ce20	d__Eukaryota; p__Parabasalia; c__Trichomonadea; o__Trichomonadea; f__Trichomonadea	1.0
000398e4fd47e2614a61fe588f545737	Unassigned	1.0
0004787aa5748536d6f47ed9ec025c00	Unassigned	1.0
00060c1f728dad1d209e7e0246f10702	Unassigned	1.0
000a4d5bf8fddace0cab02e2c4097a2e	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured; s__uncultured_Cercozoa	1.0
000ab141f14f0be4a68eda2615ce7a7c	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Choreotrichia; g__Tintinnidium	1.0
000c080878bb84823b3b57d6a74cae86	d__Bacteria; p__Desulfobacterota; c__Desulfobacteria	0.857
000db7803a0677bccaf2f71cb60dd9f2	d__Eukaryota; p__Protalveolata; c__Perkinsidae; o__A31; f__A31; g__A31	1.0
000dc18a043e550b44690d3193ae634d	d__Eukaryota; p__Cercozoa; c__Cercozoa; o__Cercozoa; f__Cercozoa; g__Cercozoa; s__Lecythium_jennyae	1.0
000e8a54ea01675b7af39a78772653fd	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae	0.9
0010008edaa9f06eaf22c7159405fe36	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gonyaulacales; f__Gonyaulacales; g__Gambierdiscus; s__Gambierdiscus_sp.	1.0
00117a3cc161cef5a0f3224e766b532f	Unassigned	1.0
00160fe25da9f86da3e8738d35473b83	Unassigned	1.0
001661c2d1fecdeebe8b127e41e51b7d	d__Bacteria; p__Actinobacteriota	0.8
001823bd52410904e288376518640a07	Unassigned	1.0
0018ecb74ee47aad5498f6bc78cbe046	Unassigned	1.0
0018ed2a960b3cb05d659e9ae09f2d3c	d__Eukaryota; p__Euglenozoa; c__Euglenida; o__Heteronematina; f__Heteronematina; g__Petalomonas; s__uncultured_eukaryote	1.0
001904b52751d4af22f3e0afed265451	d__Eukaryota; p__Arthropoda; c__Ellipura; o__Collembola; f__Collembola; g__Collembola	1.0
001b0071bbf9b66f53d809a5f5cdff2f	Unassigned	1.0
001c4b2217560dfb6b57cb02bb622585	Unassigned	1.0
001d0c823e22f5b210402ecf96034645	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Choreotrichia	1.0
001df9fa1ddff86f625f74f4cc2d6c12	Unassigned	1.0
001e04510f463d77ddc0acd136c65fbb	d__Eukaryota; p__Peronosporomycetes; c__Peronosporomycetes; o__Peronosporomycetes; f__Peronosporomycetes; g__Phytophthora; s__Phytophthora_infestans	0.9
001ec2c8f9bcb7198630343ee2fba97a	d__Eukaryota; p__MAST-4; c__MAST-4; o__MAST-4; f__MAST-4; g__MAST-4	0.778
001f260c3e2238a18871762e2ba1ed94	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured; s__uncultured_bacterium	0.8
002109b7d2c3463b02309efe6bafe658	Unassigned	1.0
0021706b1ca315556a24b6d5df927e5b	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales	0.7
00226820c24037f822f09c587958f65e	d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__GWA2-38-13b; f__GWA2-38-13b; g__GWA2-38-13b; s__uncultured_bacterium	0.75
00226b7309f7dcd68278c7adc7061926	d__Eukaryota; p__Cercozoa; c__Granofilosea; o__Granofilosea; f__Granofilosea; g__Massisteria; s__Massisteria_voersi	1.0
00241f14869f3308b6d45ec8192cedf6	Unassigned	1.0
002574252a9c4e4b63f92da404e1bc1e	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae; o__Ochromonadales; f__Ochromonadales	0.625
0025a79aab2d5cb5eeeec4fbb1c648c8	d__Eukaryota; p__Eukaryota; c__Eukaryota; o__Eukaryota; f__Eukaryota; g__Eukaryota; s__Ciliophrys_infusionum	1.0
0026a5ad25c56dd7417236475a564727	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae	1.0
00277aaa33c9fb1476f15719e257514f	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_V; g__Syndiniales_Group_V; s__uncultured_eukaryote	0.667
0028a3f70d17d413b583a5747e6a4157	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.7
00290108da69324da771079a556a56cb	Unassigned	1.0
00292cddb7f1b53d8d6675db455809c1	Unassigned	1.0
