feature	importance
d__Eukaryota;p__MAST-12;c__MAST-12C;o__MAST-12C;f__MAST-12C;g__MAST-12C;__	0.1943290198379686
d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Ochromonadales;f__Ochromonadales;g__Ochromonas;__	0.1486317825760886
d__Eukaryota;p__Dinoflagellata;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Haplozoon;__	0.11217422733249487
d__Eukaryota;p__Protalveolata;c__Syndiniales;o__Syndiniales;f__Syndiniales_Group_II;g__Syndiniales_Group_II;s__uncultured_eukaryote	0.0963321178491928
d__Eukaryota;p__Peronosporomycetes;c__Peronosporomycetes;o__Peronosporomycetes;f__Peronosporomycetes;g__Pythium;__	0.028657125882792272
d__Eukaryota;p__Rotifera;c__Monogononta;o__Ploimida;f__Ploimida;g__Ploimida;__	0.02726478892942915
d__Eukaryota;p__Euglenozoa;c__Kinetoplastea;o__Eubodonida;f__Eubodonida;g__Bodo;s__Bodo_saltans	0.025642772032196635
d__Eukaryota;p__Cryptophyceae;c__Cryptophyceae;o__Cryptomonadales;f__Cryptomonadales;g__Cryptomonas;s__Cryptomonas_sp.	0.019826602213776592
d__Eukaryota;p__uncultured;c__uncultured;o__uncultured;f__uncultured;g__uncultured;__	0.015650866795460825
d__Eukaryota;p__Cercozoa;c__Imbricatea;o__Imbricatea;f__Imbricatea;g__Nudifila;s__uncultured_marine	0.011292223441515576
d__Eukaryota;p__Protalveolata;c__Syndiniales;o__Syndiniales;__;__;__	0.011069952743438905
d__Eukaryota;p__Holozoa;c__Choanoflagellida;o__Acanthoecida;f__Stephanoecidae;__;__	0.010584081791959602
d__Eukaryota;p__Bicosoecida;c__Bicosoecida;o__Bicosoecida;f__Bicosoecida;g__Bicosoeca;__	0.010569491195166217
d__Eukaryota;p__Cryptophyceae;c__Cryptophyceae;o__Cryptomonadales;f__Cryptomonadales;g__Teleaulax;__	0.00925834296419229
d__Eukaryota;p__Protalveolata;c__Perkinsidae;o__A31;f__A31;g__A31;s__uncultured_alveolate	0.008339542191835973
d__Eukaryota;p__Incertae_Sedis;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Telonema;s__uncultured_eukaryote	0.008282597778891959
d__Eukaryota;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Calanoida;g__Calanoida;s__uncultured_eukaryote	0.008029046776896904
d__Eukaryota;p__Protalveolata;c__Syndiniales;o__Syndiniales;f__Syndiniales_Group_II;g__Syndiniales_Group_II;__	0.007449463245322752
d__Eukaryota;p__Cercozoa;c__Thecofilosea;o__Cryomonadida;f__Protaspidae;g__Cryothecomonas;__	0.007285737721906773
d__Eukaryota;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophydiales;__;__;__	0.0071132958681358605
d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__DSGM-81;f__DSGM-81;g__DSGM-81;s__uncultured_eukaryote	0.006918626305731375
d__Eukaryota;p__Gastrotricha;c__Gastrotricha;o__Chaetonotida;f__Chaetonotida;g__Chaetonotida;__	0.006735170096566413
d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__uncultured;f__uncultured;g__uncultured;s__uncultured_Chrysophyceae	0.006450797139214026
d__Eukaryota;p__Porifera;c__Demospongiae;o__Dictyoceratida;f__Dictyoceratida;g__Dictyoceratida;__	0.006254484355298258
d__Eukaryota;p__Ochrophyta;c__Pelagophyceae;__;__;__;__	0.005944473192420632
d__Eukaryota;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophydiales;f__uncultured;g__uncultured;__	0.005819483295774941
d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__uncultured;f__uncultured;g__uncultured;s__uncultured_marine	0.005431916229841663
d__Eukaryota;p__Cryptophyceae;c__Cryptophyceae;o__Cryptomonadales;f__Cryptomonadales;g__Cryptomonadales;s__uncultured_eukaryote	0.005145501478062442
d__Eukaryota;p__Arthropoda;c__Maxillopoda;o__Sessilia;f__Sessilia;g__Sessilia;__	0.004572779476732946
d__Eukaryota;p__Protalveolata;c__Perkinsidae;o__A31;f__A31;g__A31;__	0.004498998820518856
d__Eukaryota;p__MAST-3;c__MAST-3E;o__MAST-3E;f__MAST-3E;g__MAST-3E;__	0.004400633676744548
d__Eukaryota;p__Tunicata;c__Ascidiacea;o__Stolidobranchia;f__Stolidobranchia;g__Stolidobranchia;__	0.003921576041261672
d__Eukaryota;p__Cercozoa;c__Thecofilosea;o__Ebriacea;f__Ebriacea;g__Ebria;s__uncultured_eukaryote	0.0038368063711354296
d__Eukaryota;p__Protalveolata;c__Syndiniales;o__Syndiniales;f__Syndiniales_Group_I;g__Syndiniales_Group_I;__	0.0037986118085327437
d__Eukaryota;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;__;__;__	0.0035768785332377525
d__Eukaryota;p__Euglenozoa;c__Kinetoplastea;o__Neobodonida;f__Neobodonida;g__Rhynchomonas;__	0.003390110215552204
d__Eukaryota;p__Arthropoda;c__Maxillopoda;__;__;__;__	0.0033537433044440713
d__Eukaryota;p__Phragmoplastophyta;c__Embryophyta;o__Magnoliophyta;f__Magnoliophyta;g__Magnoliophyta;s__Citrus_maxima	0.0032604612075776015
d__Eukaryota;p__Dinoflagellata;__;__;__;__;__	0.0032287935860776614
d__Eukaryota;p__Cercozoa;c__Imbricatea;o__Imbricatea;f__Thaumatomonadida;g__uncultured;s__uncultured_Cercozoa	0.003159111940550431
d__Eukaryota;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Phyllodocida;g__Phyllodocida;__	0.0031454112906918142
d__Eukaryota;p__MAST-12;c__MAST-12A;o__MAST-12A;f__MAST-12A;g__MAST-12A;__	0.0030954454453921655
d__Eukaryota;p__Picozoa;c__Picozoa;o__Picozoa;f__Picozoa;g__Picozoa;s__uncultured_biliphyte	0.0029799676992346077
d__Eukaryota;p__Prymnesiophyceae;c__Prymnesiophyceae;o__Prymnesiales;f__Prymnesiales;__;__	0.0029147154950048258
d__Eukaryota;p__Protalveolata;c__Syndiniales;o__Syndiniales;f__Syndiniales;g__Amoebophrya;s__uncultured_eukaryote	0.0028789688239222746
d__Eukaryota;p__Mollusca;c__Bivalvia;o__Pectinoida;f__Pectinoida;g__Pectinoida;__	0.002855148865968963
d__Eukaryota;p__MAST-1;c__MAST-1C;o__MAST-1C;f__MAST-1C;g__MAST-1C;__	0.002774984248839777
d__Eukaryota;p__Picozoa;c__Picomonadida;__;__;__;__	0.0026467208207885495
d__Eukaryota;p__Cryptophyceae;c__Cryptophyceae;o__Cryptomonadales;f__Cryptomonadales;g__Rhodomonas;__	0.0023431394556302203
d__Eukaryota;p__Cnidaria;c__Anthozoa;o__Scleractinia;f__Scleractinia;g__Scleractinia;__	0.002303137269334784
d__Eukaryota;p__Cercozoa;c__Novel_Clade_2;o__Novel_Clade_2;f__Novel_Clade_2;g__Novel_Clade_2;s__uncultured_marine	0.0023016238676133996
d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__uncultured;f__uncultured;g__uncultured;s__uncultured_eukaryote	0.002266385477502898
d__Eukaryota;p__MAST-2;c__MAST-2;o__MAST-2;f__MAST-2;g__MAST-2;__	0.0022258524492009984
d__Eukaryota;p__Florideophycidae;c__Rhodymeniophycidae;o__Rhodymeniophycidae;f__Rhodymeniophycidae;g__Rhodymeniophycidae;__	0.0022187176790261407
d__Eukaryota;p__Annelida;c__Polychaeta;o__Capitellida;f__Capitellida;g__Capitellida;__	0.0022174575139261507
d__Eukaryota;p__Chytridiomycota;c__Chytridiomycetes;o__uncultured;f__uncultured;g__uncultured;__	0.0022127423176815254
d__Eukaryota;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales;f__Mamiellales;g__Micromonas;__	0.002045158930461194
d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Pedinellales;f__Pedinellales;g__Pseudopedinella;s__uncultured_eukaryote	0.001956699605298133
d__Eukaryota;p__Protalveolata;c__Syndiniales;o__Syndiniales;f__Syndiniales_Group_I;g__Syndiniales_Group_I;s__uncultured_eukaryote	0.0019159008896526878
d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Pedinellales;f__Pedinellales;g__Pedinellales;s__uncultured_Pedinellales	0.0018306010768012631
d__Eukaryota;p__Peronosporomycetes;c__Peronosporomycetes;o__Peronosporomycetes;f__Peronosporomycetes;g__uncultured;s__uncultured_stramenopile	0.00182079911602657
d__Eukaryota;p__Chlorophyta;c__Clade_VII;o__Subclade_A;f__Subclade_A;g__Subclade_A;__	0.0018021458434388325
d__Eukaryota;p__Incertae_Sedis;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Palpitomonas;s__uncultured_eukaryote	0.001720568291562857
d__Eukaryota;p__Peronosporomycetes;c__Peronosporomycetes;o__Peronosporomycetes;f__Peronosporomycetes;g__Halodaphnea;s__Halodaphnea_panulirata	0.0016561104256214453
d__Eukaryota;p__Ochrophyta;c__Dictyochophyceae;o__Pedinellales;f__Pedinellales;__;__	0.0016447166544006897
d__Eukaryota;p__Cercozoa;c__Novel_Clade_2;o__Novel_Clade_2;f__Novel_Clade_2;g__Novel_Clade_2;__	0.0016018381881879522
d__Eukaryota;p__Annelida;c__Polychaeta;__;__;__;__	0.0015955225231732786
d__Eukaryota;p__Phragmoplastophyta;c__Embryophyta;o__Magnoliophyta;f__Magnoliophyta;g__Magnoliophyta;s__Lupinus_angustifolius	0.0015840572445634526
d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;__	0.0015735776620727164
d__Eukaryota;p__Ctenophora;c__Tentaculata;__;__;__;__	0.0015388700994165149
d__Eukaryota;p__Chlorophyta;c__Prasinophytae;o__Prasinophytae;f__Prasinophytae;g__Prasinophytae;__	0.0014311132402577624
d__Eukaryota;p__MAST-12;c__MAST-12A;o__MAST-12A;f__MAST-12A;g__MAST-12A;s__uncultured_eukaryote	0.001404635331824541
d__Eukaryota;p__Chlorophyta;c__Chlorophyceae;o__Chlorophyceae;f__Chlorophyceae;g__Chlorophyceae;__	0.0013585277955306709
d__Eukaryota;p__Cercozoa;c__Thecofilosea;o__Thecofilosea;f__Thecofilosea;g__uncultured;s__uncultured_eukaryote	0.0012013837214471215
d__Eukaryota;p__MAST-8;c__MAST-8D;o__MAST-8D;f__MAST-8D;g__MAST-8D;s__uncultured_stramenopile	0.001136298965912652
d__Eukaryota;p__Cercozoa;c__Cercomonadidae;o__Cercomonadidae;f__Cercomonadidae;__;__	0.0011305639498640052
